,Stability,Model,Distance
0,2,Model 1,0.0558027072118259
1,0,Model 1,0.02582707992064927
2,0,Model 1,0.017520318781972584
3,1,Model 1,0.060811198099808644
4,1,Model 1,0.0653407244148447
5,2,Model 1,0.052424556143900354
6,2,Model 1,0.02873256011116311
7,2,Model 1,0.033156082507551726
8,2,Model 1,0.05297092128605236
9,0,Model 1,0.028687582984895276
10,1,Model 1,0.05471612471877183
11,2,Model 1,0.07034241721816625
12,0,Model 1,0.02764129919083887
13,1,Model 1,0.042762817778534634
14,2,Model 1,0.02580504641932115
15,2,Model 1,0.048653865542345166
16,0,Model 1,0.03431665653213772
17,0,Model 1,0.056348236771479446
18,2,Model 1,0.07157423450593128
19,0,Model 1,0.058998823151471896
20,2,Model 1,0.030521898527338172
21,0,Model 1,0.026108492963098653
22,2,Model 1,0.05906631993099728
23,2,Model 1,0.04395395395921621
24,2,Model 1,0.04445916388020262
25,2,Model 1,0.029900827862704305
26,2,Model 1,0.033420604093790274
27,2,Model 1,0.03192582123294651
28,2,Model 1,0.040754359126234894
29,1,Model 1,0.04103186561005249
30,2,Model 1,0.07692479806442146
31,2,Model 1,0.032900278109831774
32,1,Model 1,0.02480586561051302
33,0,Model 1,0.07567010957441785
34,0,Model 1,0.05687919818325419
35,2,Model 1,0.05441394095261936
36,2,Model 1,0.02809942089193784
37,1,Model 1,0.036396106236834286
38,2,Model 1,0.042610812341835606
39,2,Model 1,0.05684066854142054
40,0,Model 1,0.02451631876353667
41,0,Model 1,0.07135774967548476
42,2,Model 1,0.014551509627711156
43,0,Model 1,0.07060470021548437
44,1,Model 1,0.03502110896614334
45,2,Model 1,0.024158470739935097
46,1,Model 1,0.029331922918697562
47,2,Model 1,0.061807280332088
48,0,Model 1,0.017075417283877414
49,1,Model 1,0.03694903713727536
50,2,Model 2,0.049631638908725004
51,0,Model 2,0.021881707170801002
52,0,Model 2,0.017849852470696287
53,1,Model 2,0.058883505215071894
54,1,Model 2,0.06444341155286741
55,2,Model 2,0.05470093406632675
56,2,Model 2,0.02991364522997192
57,2,Model 2,0.030142089413421412
58,2,Model 2,0.04947175586979198
59,0,Model 2,0.029628840466508054
60,1,Model 2,0.050825540757132276
61,2,Model 2,0.07115377087477344
62,0,Model 2,0.02463508812805958
63,1,Model 2,0.04397472823899695
64,2,Model 2,0.0321610903441016
65,2,Model 2,0.04489075164406222
66,0,Model 2,0.029904080453013467
67,0,Model 2,0.050776637772838355
68,2,Model 2,0.06979229723068375
69,0,Model 2,0.054352953239354865
70,2,Model 2,0.03714553556096546
71,0,Model 2,0.025396026916199833
72,2,Model 2,0.05468092804028079
73,2,Model 2,0.04208659483947903
74,2,Model 2,0.052395545543742136
75,2,Model 2,0.028552187679282363
76,2,Model 2,0.038157306288820275
77,2,Model 2,0.029495601542916024
78,2,Model 2,0.039894089237955704
79,1,Model 2,0.042554172124831376
80,2,Model 2,0.07151134208604444
81,2,Model 2,0.03424906059157729
82,1,Model 2,0.015130551671961362
83,0,Model 2,0.07271103035422274
84,0,Model 2,0.05005691557054688
85,2,Model 2,0.04853798426442999
86,2,Model 2,0.023102483894429753
87,1,Model 2,0.035008442104682465
88,2,Model 2,0.044296373355977976
89,2,Model 2,0.052200926401680135
90,0,Model 2,0.026392911837145695
91,0,Model 2,0.07185985666806223
92,2,Model 2,0.01954114416920145
93,0,Model 2,0.06052255691288816
94,1,Model 2,0.03424238914843761
95,2,Model 2,0.024389679517784226
96,1,Model 2,0.025250205065059032
97,2,Model 2,0.06152030400178825
98,0,Model 2,0.01635712235671979
99,1,Model 2,0.03071795168140702
