,$\mu$,Seed,Model,Distance
0,-1.0,0,Model 1,0.3855259388322324
1,-1.0,0,Model 2,0.1509874497693668
2,-1.0,1,Model 1,0.3770609511538464
3,-1.0,1,Model 2,0.07292604048454429
4,-1.0,2,Model 1,0.57155024518175
5,-1.0,2,Model 2,0.15965733543567545
6,-1.0,3,Model 1,0.5165323981404942
7,-1.0,3,Model 2,0.11285298586082419
8,-1.0,4,Model 1,0.37893505859774995
9,-1.0,4,Model 2,0.21411727529456698
10,-0.8,0,Model 1,0.3382095444780118
11,-0.8,0,Model 2,0.2009828405506355
12,-0.8,1,Model 1,0.48386433630777675
13,-0.8,1,Model 2,0.16995650770161172
14,-0.8,2,Model 1,0.5048317716523489
15,-0.8,2,Model 2,0.07890538981652193
16,-0.8,3,Model 1,0.4627386607806265
17,-0.8,3,Model 2,0.10887749124596818
18,-0.8,4,Model 1,0.15530886822796278
19,-0.8,4,Model 2,0.023297016783549694
20,-0.6000000000000001,0,Model 1,1.2905380604650551
21,-0.6000000000000001,0,Model 2,0.24004969657810177
22,-0.6000000000000001,1,Model 1,0.4140055676674285
23,-0.6000000000000001,1,Model 2,0.18556474425070327
24,-0.6000000000000001,2,Model 1,0.39687521567509354
25,-0.6000000000000001,2,Model 2,0.2848774333838047
26,-0.6000000000000001,3,Model 1,0.4200396109770738
27,-0.6000000000000001,3,Model 2,0.16747988273988507
28,-0.6000000000000001,4,Model 1,0.1530088863438365
29,-0.6000000000000001,4,Model 2,0.02173495027568224
30,-0.40000000000000013,0,Model 1,0.1809647644055559
31,-0.40000000000000013,0,Model 2,0.04856216262971242
32,-0.40000000000000013,1,Model 1,0.20742757724353353
33,-0.40000000000000013,1,Model 2,0.0468349120811528
34,-0.40000000000000013,2,Model 1,0.27469750081642824
35,-0.40000000000000013,2,Model 2,0.3131262022454518
36,-0.40000000000000013,3,Model 1,0.39330831158432855
37,-0.40000000000000013,3,Model 2,0.11598178390277857
38,-0.40000000000000013,4,Model 1,0.14732995705617863
39,-0.40000000000000013,4,Model 2,0.03248481989931402
40,-0.20000000000000018,0,Model 1,0.21949464188959344
41,-0.20000000000000018,0,Model 2,0.01421528316201487
42,-0.20000000000000018,1,Model 1,0.10786744854705267
43,-0.20000000000000018,1,Model 2,0.29555169860783165
44,-0.20000000000000018,2,Model 1,0.014149961218842374
45,-0.20000000000000018,2,Model 2,0.41308667464458865
46,-0.20000000000000018,3,Model 1,0.01777029007993065
47,-0.20000000000000018,3,Model 2,0.06786686092675136
48,-0.20000000000000018,4,Model 1,0.12069515235749959
49,-0.20000000000000018,4,Model 2,0.0050217276363520805
50,-2.220446049250313e-16,0,Model 1,0.06279150588769937
51,-2.220446049250313e-16,0,Model 2,0.07161695667802777
52,-2.220446049250313e-16,1,Model 1,0.0441926171979742
53,-2.220446049250313e-16,1,Model 2,0.04478290375351026
54,-2.220446049250313e-16,2,Model 1,0.13534057538384217
55,-2.220446049250313e-16,2,Model 2,0.2892197015917815
56,-2.220446049250313e-16,3,Model 1,0.08149255408296378
57,-2.220446049250313e-16,3,Model 2,0.1839955322086714
58,-2.220446049250313e-16,4,Model 1,0.12713517640532773
59,-2.220446049250313e-16,4,Model 2,0.022710783185867077
60,0.19999999999999973,0,Model 1,0.10243548877856024
61,0.19999999999999973,0,Model 2,0.08867372399367085
62,0.19999999999999973,1,Model 1,0.22317353548536972
63,0.19999999999999973,1,Model 2,0.09258942650411246
64,0.19999999999999973,2,Model 1,0.21214406985387202
65,0.19999999999999973,2,Model 2,0.16994514382571357
66,0.19999999999999973,3,Model 1,0.1884043469983317
67,0.19999999999999973,3,Model 2,0.06347306339569914
68,0.19999999999999973,4,Model 1,0.037469186675870264
69,0.19999999999999973,4,Model 2,0.18141186859554467
70,0.3999999999999997,0,Model 1,0.13189763335873456
71,0.3999999999999997,0,Model 2,0.0018611846725479395
72,0.3999999999999997,1,Model 1,0.2471593911995368
73,0.3999999999999997,1,Model 2,0.20757972599798943
74,0.3999999999999997,2,Model 1,0.07810155360110872
75,0.3999999999999997,2,Model 2,0.05771384458824234
76,0.3999999999999997,3,Model 1,0.2050711590244639
77,0.3999999999999997,3,Model 2,0.20959136440680445
78,0.3999999999999997,4,Model 1,0.05382477461089128
79,0.3999999999999997,4,Model 2,0.2430054391971672
80,0.5999999999999996,0,Model 1,0.10138955762831137
81,0.5999999999999996,0,Model 2,0.14347382639625747
82,0.5999999999999996,1,Model 1,0.06610161842549878
83,0.5999999999999996,1,Model 2,0.01429838904418841
84,0.5999999999999996,2,Model 1,0.13707957415768263
85,0.5999999999999996,2,Model 2,0.10833912484864681
86,0.5999999999999996,3,Model 1,0.0690410420853469
87,0.5999999999999996,3,Model 2,0.15908801493363567
88,0.5999999999999996,4,Model 1,0.008106821294537412
89,0.5999999999999996,4,Model 2,0.2909383172456714
90,0.7999999999999996,0,Model 1,0.19325493083885395
91,0.7999999999999996,0,Model 2,0.016653687071725105
92,0.7999999999999996,1,Model 1,0.08891373224984518
93,0.7999999999999996,1,Model 2,0.14297836942460745
94,0.7999999999999996,2,Model 1,0.026148822727805873
95,0.7999999999999996,2,Model 2,0.16556322893114855
96,0.7999999999999996,3,Model 1,0.09124776251536959
97,0.7999999999999996,3,Model 2,0.0039166756838141074
98,0.7999999999999996,4,Model 1,0.0899313858759286
99,0.7999999999999996,4,Model 2,0.3050884279123413
100,0.9999999999999996,0,Model 1,0.410708597467203
101,0.9999999999999996,0,Model 2,0.03486462278479969
102,0.9999999999999996,1,Model 1,0.6962815018551204
103,0.9999999999999996,1,Model 2,0.07818113898272842
104,0.9999999999999996,2,Model 1,0.03585821522579311
105,0.9999999999999996,2,Model 2,0.09314407284305919
106,0.9999999999999996,3,Model 1,0.812804202607892
107,0.9999999999999996,3,Model 2,0.004805144249777307
108,0.9999999999999996,4,Model 1,0.08118867873399618
109,0.9999999999999996,4,Model 2,0.13750399990076176
